"idx","file","title","caption","date","ts"
"106","ig-106.jpg","The mastermind behind our magical events! Our event managers are re...","The mastermind behind our magical events! Our event managers are ready to bring people together and create unforgettable experiences for everyone Well, since our event managers are too ready to work so self intro is a bit too long to put in this caption. So please find it in our comment section!","May 2026","1778907863"
"107","ig-107.jpg","The moment you've been waiting for!","The moment you've been waiting for!  The results of #LOCKINorLOGIN are now LIVE. Who rose to the top?Slide to see the full breakdown!  #esport #cuhkisa #chineseuniversityofhongkong #clashroyale","Jan 2026","1768818671"
"108","ig-108.jpg","Thank you everyone who came to the 2026 PrepAsia × ISA Bootcamp! We...","Thank you everyone who came to the 2026 PrepAsia × ISA Bootcamp! We hope you learned something valuable, found new perspectives, and feel more confident about your next steps in Hong Kong's job market.  Huge thanks to @prepasia_community and @myles.ng for making it happen!  Follow the PrepAsia Co...","Apr 2026","1776000781"
"109","ig-109.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. we truly appreciate all the encouragement and loo...","May 2026","1778648707"
"110","ig-110.jpg","Thanks for coming! We had so much fun!","Thanks for coming! We had so much fun! #chalkparty #thechineseuniversityofhongkong #cuhkisa","Feb 2026","1770983121"
"111","ig-111.jpg","The moment you've been waiting for!","The moment you've been waiting for!  The results of #LOCKINorLOGIN are now LIVE. Who rose to the top?Slide to see the full breakdown!  #esport #cuhkisa #chineseuniversityofhongkong #clashroyale","Jan 2026","1768818671"
"112","ig-112.jpg","Meet our brilliant Design Team!","Meet our brilliant Design Team! The creative minds behind every pixel, layout, and concept that brings our vision to life. Their passion and eye for detail make every feeds look extraordinary.  Austin : Hi everyone, I'm Austin, one of the designers for this year's cabinet . I'm a Thai sophomore s...","May 2026","1778912006"
"113","ig-113.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"114","ig-114.jpg","Meet our amazing Secretary!","Meet our amazing Secretary! The organizational backbone of our team, keeping schedules aligned, communication flowing, and every detail in check.  Bianca : Hellooo everyone! I'm Bianca, one of the secretaries too this year . I am a first year COMMN student from Indonesia. I LOVE love watching , a...","May 2026","1778916600"
"115","ig-115.jpg","Meet our brilliant Design Team!","Meet our brilliant Design Team! The creative minds behind every pixel, layout, and concept that brings our vision to life. Their passion and eye for detail make every feed look extraordinary.  Austin : Hi everyone, I'm Austin, one of the designers for this year's cabinet . I'm a Thai sophomore st...","May 2026","1778911200"
"116","ig-116.jpg","LAST CALL: POD LEADER REGISTRATION","LAST CALL: POD LEADER REGISTRATION  It's 2 DAYS BEFORE registration is officially closed - and you haven't applied yet?  Better hurry, because the spots are already filled with amazing people you'll want to know and work with!  Don't miss you chance! APPLY HERE + Link in bio https://docs.google.c...","May 2026","1779876672"
"117","ig-117.jpg","Second in command but first in energy Our VP is ready to step in wh...","Second in command but first in energy Our VP is ready to step in whenever needed Hiiii I'm Miu, the next VP of ISA! ֊ ̫ ֊  I am a freshman in broad-based Social Science from S.H.Ho College, and will be majoring in Sociology from next year onwards (Karl Marx major). Aligns with my major, I love th...","May 2026","1778918400"
"118","ig-118.jpg","The moment you've been waiting for!","The moment you've been waiting for!  The results of #LOCKINorLOGIN are now LIVE. Who rose to the top?Slide to see the full breakdown!  #esport #cuhkisa #chineseuniversityofhongkong #clashroyale","Jan 2026","1768818671"
"119","ig-119.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"120","ig-120.jpg","Thanks for coming! We had so much fun!","Thanks for coming! We had so much fun! #chalkparty #thechineseuniversityofhongkong #cuhkisa","Feb 2026","1770983121"
"121","ig-121.jpg","officially beginning this new 17th chapter together","officially beginning this new 17th chapter together  Thank you to everyone who attended and celebrated with us, as well as to all the student societies and friends who sent their support and warm wishes despite not being able to join us in person. We truly appreciate all the encouragement and loo...","May 2026","1778650393"
"122","ig-122.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"123","ig-123.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"124","ig-124.jpg","ISA CUHK","ISA CUHK","Jun 2026","1782325084"
"125","ig-125.jpg","Meet our amazing Secretary!","Meet our amazing Secretary! The organizational backbone of our team, keeping schedules aligned, communication flowing, and every detail in check.  Bianca : Hellooo everyone! I'm Bianca, one of the secretaries too this year . I am a first year COMMN student from Indonesia. I LOVE love watching , a...","May 2026","1778916600"
"126","ig-126.jpg","CUHK College info # 2 : Small Colleges","CUHK College info # 2 : Small Colleges  One thing these colleges have in common? Dinner is a social event. Meet the three residential colleges of CUHK:  Morningside - The Oxbridge Experience  S.H. Ho - The Residential Family  C.W. Chu - The Changemakers Swipe to see which community feels most lik...","Jun 2026","1781769651"
